PIXELS,CRPIX_RA,CRPIX_DEC,CRVAL_RA [deg],CRVAL_DEC [deg]
10978,-63487.0009876119,14337.000242855396,327.11538461538464,-51.25580694880489
10979,-61439.0009552312,16385.000275236118,330.5769230769231,-51.255806948804874
11078,-65535.00101999262,14337.000242855414,325.8,-52.80185378173062
11079,-63487.00098761192,16385.00027523611,329.40000000000003,-52.80185378173062
11080,-61439.00095523118,18433.000307616847,333.0,-52.80185378173062
11174,-67583.00105237337,14337.000242855353,324.375,-54.34091230386123
11175,-65535.00101999262,16385.0002752361,328.12499999999994,-54.34091230386123
11176,-63487.0009876119,18433.00030761682,331.875,-54.34091230386123
11177,-61439.00095523118,20481.000339997543,335.625,-54.34091230386123
11266,-69631.0010847541,14337.00024285537,322.8260869565217,-55.87335043525199
11267,-67583.00105237335,16385.00027523612,326.73913043478257,-55.87335043525199
11268,-65535.00101999263,18433.00030761684,330.6521739130435,-55.87335043525199
11269,-63487.00098761191,20481.00033999756,334.5652173913044,-55.87335043525199
11355,-69631.00108475405,16385.000275236136,325.22727272727275,-57.39952353962293
11356,-67583.00105237335,18433.000307616843,329.31818181818187,-57.39952353962293
11357,-65535.00101999263,20481.00033999755,333.40909090909093,-57.39952353962293
